source,destination,label
31,82,False
0,75,True
4,84,False
14,120,False
16,57,True
0,113,False
25,78,False
16,7,False
0,7,False
19,72,False
14,71,False
0,105,True
16,125,False
0,94,False
10,40,False
66,109,False
2,72,False
81,67,False
55,100,False
82,121,False
4,38,False
0,124,False
16,29,False
8,94,False
44,2,True
18,16,False
0,2,True
78,119,False
2,75,True
0,86,False
10,100,False
27,24,False
47,94,False
18,8,True
29,80,True
63,55,False
10,62,False
8,18,False
4,80,True
6,60,False
0,116,False
45,42,False
16,22,True
0,78,False
14,6,False
27,27,False
65,108,False
6,90,False
81,70,False
53,3,True
4,79,False
18,18,False
0,97,False
84,123,False
77,118,False
22,75,True
0,127,False
54,45,False
2,37,False
14,28,False
12,107,False
36,10,False
36,32,False
10,103,False
41,90,False
45,43,False
0,108,False
0,119,False
10,106,True
12,20,False
14,115,False
57,102,False
0,81,False
88,127,False
12,34,True
16,43,False
4,82,False
0,89,False
8,3,True
0,100,False
0,111,False
72,14,True
6,39,True
18,22,True
8,98,False
2,78,False
63,13,True
21,74,False
6,17,False
0,73,False
54,48,False
12,110,False
37,86,False
81,65,False
4,85,False
0,92,False
26,0,False
72,62,False
0,106,True
49,96,False
14,118,False
72,63,False
8,32,False
8,54,False
12,113,False
10,19,False
45,37,False
63,53,False
20,73,False
45,38,False
0,103,False
14,42,False
30,81,False
10,101,True
16,126,True
36,35,False
60,105,True
67,110,False
6,88,False
63,56,False
8,47,True
0,122,False
32,83,False
76,117,True
81,68,False
63,57,True
8,25,False
4,59,True
16,50,True
0,84,False
0,95,False
71,5,False
8,93,False
2,51,False
2,73,False
79,120,False
6,91,False
0,114,False
0,125,False
10,33,False
45,40,False
0,76,False
0,87,False
0,117,True
27,25,False
56,101,True
4,31,False
59,104,False
24,77,False
8,95,False
18,17,False
12,48,False
0,3,True
75,116,False
4,1,False
0,98,False
8,68,False
8,96,False
2,65,False
14,49,True
87,126,True
36,30,False
40,89,False
14,56,False
12,108,False
63,52,True
28,79,False
0,79,False
0,90,False
10,104,False
52,99,False
27,28,False
72,60,False
54,49,True
10,55,False
14,21,True
81,71,False
68,111,False
18,19,False
14,116,False
16,64,True
6,53,False
0,109,False
14,117,True
2,76,False
12,112,True
0,101,True
18,20,False
0,112,True
54,46,False
16,121,False
27,23,True
4,83,False
36,33,False
2,0,False
85,124,False
12,70,False
80,6,False
36,34,True
81,66,True
4,45,False
0,120,False
34,85,False
73,114,False
2,30,False
0,82,False
12,111,False
12,5,False
50,97,False
0,5,False
63,51,False
72,64,True
16,123,False
6,67,False
0,123,False
0,6,False
10,4,True
45,39,True
0,74,False
6,2,True
6,86,False
63,54,False
16,36,False
0,93,False
0,104,False
62,4,True
43,92,False
10,69,False
14,119,False
6,89,False
42,91,False
0,85,False
0,126,True
16,124,False
45,11,False
0,115,False
12,27,False
54,44,False
4,52,True
36,36,False
23,76,False
0,77,False
83,122,False
54,47,True
2,44,False
0,0,False
48,95,False
72,59,True
81,69,False
70,113,False
0,96,False
0,107,False
14,35,False
64,107,False
0,80,True
2,74,False
81,15,True
6,92,False
45,41,False
4,81,False
0,88,False
0,99,False
10,102,False
16,127,False
27,26,False
18,21,True
72,58,False
8,97,False
69,112,True
10,105,True
12,41,False
58,103,False
14,114,False
0,118,False
12,109,False
0,1,False
10,26,False
6,24,False
6,46,False
46,93,False
0,4,True
61,106,True
27,9,False
2,77,False
89,7,False
35,1,False
36,31,False
38,87,False
2,23,True
8,99,False
4,66,True
51,98,False
4,16,False
0,91,False
0,102,False
8,61,False
27,29,False
72,61,False
54,50,True
2,58,False
74,115,False
39,88,False
54,12,True
6,87,False
0,110,False
0,121,False
33,84,False
0,72,False
0,83,False
86,125,False
12,63,False
16,122,False
