0,0,0
0,1,1
0,2,2
0,3,3
1,0,4
1,1,5
1,2,6
1,3,7
2,0,8
2,1,9
2,2,10
2,3,11
3,0,12
3,1,13
3,2,14
3,3,15
4,0,16
4,1,17
4,2,18
4,3,19
5,0,20
5,1,21
5,2,22
5,3,23
6,0,24
6,1,25
6,2,26
6,3,27
6,4,28
6,5,29
7,0,30
7,1,31
7,2,32
7,3,33
7,4,34
7,5,35
8,0,36
8,1,37
8,2,38
9,0,39
9,1,40
10,0,41
10,1,42
11,0,43
11,1,44
12,0,45
12,1,46
13,0,47
13,1,48
14,0,49
14,1,50
15,0,51
15,1,52
16,0,53
16,1,54
17,0,55
17,1,56
18,0,57
18,1,58
19,0,59
19,1,60
20,0,61
20,1,62
21,0,63
21,1,64
22,0,65
22,1,66
23,0,67
23,1,68
24,0,69
24,1,70
25,0,71
25,1,72
26,0,73
26,1,74
27,0,75
27,1,76
28,0,77
28,1,78
29,0,79
29,1,80
30,0,81
30,1,82
