0,0,0
0,1,1
0,2,2
1,0,3
1,1,4
2,0,5
2,1,6
3,0,7
3,1,8
4,0,9
4,1,10
5,0,11
5,1,12
6,0,13
6,1,14
7,0,15
7,1,16
8,0,17
8,1,18
9,0,19
9,1,20
10,0,21
10,1,22
11,0,23
11,1,24
12,0,25
12,1,26
13,0,27
13,1,28
14,0,29
14,1,30
15,0,31
15,1,32
16,0,33
16,1,34
17,0,35
17,1,36
18,0,37
18,1,38
19,0,39
19,1,40
20,0,41
20,1,42
21,0,43
21,1,44
22,0,45
22,1,46
23,0,47
23,1,48
24,0,49
24,1,50
25,0,51
25,1,52
26,0,53
26,1,54
27,0,55
27,1,56
28,0,57
28,1,58
29,0,59
29,1,60
30,0,61
30,1,62
31,0,63
31,1,64
32,0,65
32,1,66
33,0,67
33,1,68
34,0,69
34,1,70
35,0,71
35,1,72
36,0,73
36,1,74
37,0,75
37,1,76
38,0,77
38,1,78
39,0,79
39,1,80
40,0,81
40,1,82
41,0,83
41,1,84
42,0,85
42,1,86
43,0,87
43,1,88
44,0,89
44,1,90
45,0,91
45,1,92
46,0,93
46,1,94
47,0,95
47,1,96
48,0,97
48,1,98
49,0,99
49,1,100
50,0,101
50,1,102
51,0,103
51,1,104
52,0,105
52,1,106
53,0,107
53,1,108
54,0,109
54,1,110
55,0,111
55,1,112
56,0,113
56,1,114
57,0,115
57,1,116
